comment_num,img,price,shop,title
10万+,//img14.360buyimg.com/n7/jfs/t1/220322/38/14513/103210/62d11e49E90f5676f/4133bb1b2b96c2f9.jpg.avif,2099.00,iQOO京东官方自营旗舰店,vivo iQOO Neo5 SE 8GB+256GB 矿影蓝 骁龙870 144Hz竞速屏 55W闪充 双模5G全网通
20万+,//img13.360buyimg.com/n7/jfs/t1/219583/26/7800/151098/61b8a3f2E2879c4f6/9b73c1d24e0abecb.jpg.avif,1699.00,荣耀京东自营旗舰店,荣耀X30 骁龙6nm疾速5G芯 66W超级快充 120Hz全视屏 全网通版 8GB+128GB 钛空银
50万+,//img12.360buyimg.com/n7/jfs/t1/10982/27/17381/203783/62be59e2Ecc1aee1a/6dfcfdecdba47801.jpg.avif,1199.00,小米京东自营旗舰店,Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池  6GB +128GB 神秘黑境 智能
50万+,,1699.00,小米京东自营旗舰店,Redmi Note 11 Pro 5G 三星AMOLED高刷屏 1亿像素 67W快充 VC液冷散热  8GB+128GB 迷雾森林
10万+,,1299.00,iQOO京东官方自营旗舰店,vivo iQOO Z5x 8GB+128GB 透镜黑 44W闪充   5000mAh大电池 120Hz高刷屏 双模5G全网通
500+,//img11.360buyimg.com/n7/jfs/t1/94712/3/24609/327665/62d18826E21a5fbe1/c052766d6b5a6c83.jpg.avif,2699.00,头号卖家旗舰店,【12期免息】vivo S15系列  高通骁龙870 66W超级闪充 5G 拍照游戏
300万+,,649.00,小米京东自营旗舰店,Redmi 10A 5000mAh大电量 1300万AI相机 八核处理器 指纹解锁 4GB+64GB 暗影黑 智能
5000+,//img12.360buyimg.com/n7/jfs/t1/66406/30/20272/281966/62d0d657E5a91bc30/9906b361a57c930e.jpg.avif,10599.00,华硕京东自营官方旗舰店,华硕(ASUS) 灵耀X双屏 英特尔Evo 酷睿i7 超能轻薄
2万+,//img11.360buyimg.com/n7/jfs/t1/75590/28/20594/267124/62d226daE3bae35e9/63c1ec509cd1d4a5.jpg.avif,2999.00,一加手机京东自营官方旗舰店,一加 Ace 享OPPO官方售后 天玑8100-MAX 150W闪充 120Hz电竞直屏 游戏独显芯片 12GB+256GB 开黑 5G游戏
5万+,//img14.360buyimg.com/n7/jfs/t1/587/15/19730/94503/62d11316E09e02461/e679f7589fd50544.jpg.avif,5199.00,iQOO京东官方自营旗舰店,vivo iQOO 9 Pro 12GB+256GB 传奇版 2KE5超视网膜屏 全新一代骁龙8 超声波指纹 双模5G全网通
5万+,,1999.00,荣耀京东自营旗舰店,荣耀60 SE 120Hz十亿色曲面屏 66W超级快充 6400万Vlog相机 全网通版 5G
0,,待发布,iQOO京东官方自营旗舰店,vivo iQOO 10 新机上市 悦享操控 7月19日19:30新机发布会 更多惊喜 敬请期待
10万+,,1199.00,荣耀京东自营旗舰店,荣耀Play6T 6.74英寸高刷护眼屏 侧边指纹解锁 5000mAh大电池 全网通 5G
20万+,,2199.00,小米京东自营旗舰店,Redmi K40S 骁龙870 三星E4 AMOLED 120Hz直屏 OIS光学防抖 67W快充 亮黑 12GB+256GB 5G智能
5万+,,2299.00,小米京东自营旗舰店,Redmi K50 电竞版 全新骁龙8 双VC液冷散热 OLED柔性直屏 8GB+128GB 暗影 游戏电竞智能5G
20万+,//img11.360buyimg.com/n7/jfs/t1/49042/2/19847/267169/62bd62a7E519119f3/c4121b1d78d3eeea.jpg.avif,6799.00,戴尔京东自营官方旗舰店,戴尔(DELL)
5万+,//img10.360buyimg.com/n7/jfs/t1/51198/17/19436/178881/62b07535E72809ff0/e39bf90814fa30d2.jpg.avif,6699.00,小米京东自营旗舰店,小米 RedmiG 16.1英寸 支持独显直连
2万+,,7999.00,华硕京东自营官方旗舰店,华硕天选3 锐龙版15.6英寸
20万+,,6199.00,联想京东自营旗舰店,联想
2万+,,3999.00,荣耀京东自营旗舰店,荣耀70 Pro IMX800三主摄 旗舰芯片 100W超级快充 5G
20万+,,1799.00,小米京东自营旗舰店,小米11青春版 骁龙780G处理器  AMOLED柔性直屏 8GB+128GB 清甜荔枝 5G时尚
2万+,,1099.00,iQOO京东官方自营旗舰店,vivo iQOO U5x 8GB+128GB极昼蓝 骁龙680 5000mAh大电池 6.51英寸大屏幕 智慧三摄 全网通智能
2万+,//img10.360buyimg.com/n7/jfs/t1/41819/2/18830/332529/6296fb04Ead0c0e32/80ef21a3b00b1344.jpg.avif,10499.00,玩家国度ROG京东自营官方旗舰店,ROG幻16 2022 第12代英特尔酷睿16英寸设计师高性能
1万+,,2699.00,黑鲨京东自营官方旗舰店,黑鲨5 12GB+256GB 暗宇黑 骁龙870 120W超级闪充 磁动力升降肩键 144Hz AMOLED电竞屏 5G游戏
20万+,,1399.00,OPPO京东自营官方旗舰店,OPPO K9x 8+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5G
20万+,,1699.00,iQOO京东官方自营旗舰店,vivo iQOO Z5 8GB+128GB 薄暮晨曦 骁龙778G 5000mAh长续航 120Hz高刷原色屏 双模5G全网通
